TALHAO;AREA_TALHAO;ESPAC;PARCELA;AREA_PARCELA;COVA;DAP;HT;OBS;hd_not;ht_est_not;AS;IDADE;vcc_est_not;vsc_est_not
2;45;3x3;1;810;52;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;53;13;NA;N;25,04;23,16620585;0,013273229;66,1;0,150277092;0,130825745
2;45;3x3;1;810;54;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;55;14,5;NA;N;25,04;24,22068385;0,016512996;66,1;0,192788114;0,168499758
2;45;3x3;1;810;56;13;NA;N;25,04;23,16620585;0,013273229;66,1;0,150277092;0,130825745
2;45;3x3;1;810;57;13;NA;N;25,04;23,16620585;0,013273229;66,1;0,150277092;0,130825745
2;45;3x3;1;810;58;13,5;NA;N;25,04;23,53835247;0,014313882;66,1;0,163867816;0,142849768
2;45;3x3;1;810;59;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;60;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;61;13,5;NA;N;25,04;23,53835247;0,014313882;66,1;0,163867816;0,142849768
2;45;3x3;1;810;62;15,5;NA;N;25,04;24,83106838;0,018869191;66,1;0,224016485;0,196283605
2;45;3x3;1;810;63;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;64;14,5;NA;N;25,04;24,22068385;0,016512996;66,1;0,192788114;0,168499758
2;45;3x3;1;810;65;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;66;13,5;NA;N;25,04;23,53835247;0,014313882;66,1;0,163867816;0,142849768
2;45;3x3;1;810;67;12;NA;N;25,04;22,35024675;0,011309734;66,1;0,12484264;0,108381081
2;45;3x3;1;810;68;16,5;25,9;D;25,04;25,9;0,021382465;66,1;0,262156361;0,23008662
2;45;3x3;1;810;69;15;NA;N;25,04;24,53415211;0,017671459;66,1;0,208114549;0,182125109
2;45;3x3;1;810;70;15,5;NA;N;25,04;24,83106838;0,018869191;66,1;0,224016485;0,196283605
2;45;3x3;1;810;71;13;NA;N;25,04;23,16620585;0,013273229;66,1;0,150277092;0,130825745
2;45;3x3;1;810;72;13,5;NA;N;25,04;23,53835247;0,014313882;66,1;0,163867816;0,142849768
2;45;3x3;1;810;73;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;74;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;75;13,5;NA;N;25,04;23,53835247;0,014313882;66,1;0,163867816;0,142849768
2;45;3x3;1;810;76;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;77;13,5;NA;N;25,04;23,53835247;0,014313882;66,1;0,163867816;0,142849768
2;45;3x3;1;810;78;12,5;NA;N;25,04;22,77089331;0,012271846;66,1;0,137268144;0,119336094
2;45;3x3;1;810;79;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;80;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;81;15,5;NA;N;25,04;24,83106838;0,018869191;66,1;0,224016485;0,196283605
2;45;3x3;1;810;82;15;NA;N;25,04;24,53415211;0,017671459;66,1;0,208114549;0,182125109
2;45;3x3;1;810;83;13;NA;N;25,04;23,16620585;0,013273229;66,1;0,150277092;0,130825745
2;45;3x3;1;810;84;14,5;NA;N;25,04;24,22068385;0,016512996;66,1;0,192788114;0,168499758
2;45;3x3;1;810;85;14,5;NA;N;25,04;24,22068385;0,016512996;66,1;0,192788114;0,168499758
2;45;3x3;1;810;86;15,5;NA;N;25,04;24,83106838;0,018869191;66,1;0,224016485;0,196283605
2;45;3x3;1;810;87;15;NA;N;25,04;24,53415211;0,017671459;66,1;0,208114549;0,182125109
2;45;3x3;1;810;88;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;89;12;NA;N;25,04;22,35024675;0,011309734;66,1;0,12484264;0,108381081
2;45;3x3;1;810;90;16;24,8;D;25,04;24,8;0,020106193;66,1;0,237867139;0,208764723
2;45;3x3;2;810;1;13;23,2;N;23,76;23,2;0,013273229;66,1;0,150469119;0,130986135
2;45;3x3;2;810;2;14,5;23,6;N;23,76;23,6;0,016512996;66,1;0,188453176;0,164862907
2;45;3x3;2;810;3;14,5;24,2;N;23,76;24,2;0,016512996;66,1;0,192643879;0,168378803
2;45;3x3;2;810;4;15;25,6;N;23,76;25,6;0,017671459;66,1;0,216013998;0,188752739
2;45;3x3;2;810;5;12;23,6;N;23,76;23,6;0,011309734;66,1;0,130937312;0,113452647
2;45;3x3;2;810;6;15;25;N;23,76;25;0,017671459;66,1;0,211572272;0,185027368
2;45;3x3;2;810;7;13,5;22,4;N;23,76;22,4;0,014313882;66,1;0,156904103;0,137020279
2;45;3x3;2;810;8;15;25,2;N;23,76;25,2;0,017671459;66,1;0,213054301;0,186270727
2;45;3x3;2;810;10;14;23,5;N;23,76;23,5;0,015393804;66,1;0,175494646;0,153276629
2;45;3x3;2;810;11;14;25;N;23,76;25;0,015393804;66,1;0,185269902;0,161459068
2;45;3x3;2;810;12;15,5;24,6;N;23,76;24,6;0,018869191;66,1;0,222189231;0,194747224
2;45;3x3;2;810;13;15;24,1;N;23,76;24,1;0,017671459;66,1;0,204884753;0,179412395
2;45;3x3;2;810;14;16;25,6;N;23,76;25,6;0,020106193;66,1;0,244575809;0,214410675
2;45;3x3;2;810;15;15,5;24,8;N;23,76;24,8;0,018869191;66,1;0,223770924;0,196077164
2;45;3x3;2;810;16;13;22,7;N;23,76;22,7;0,013273229;66,1;0,14762442;0,128609262
2;45;3x3;2;810;17;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;18;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;19;16;NA;N;23,76;24,25557959;0,020106193;66,1;0,233286404;0,20490592
2;45;3x3;2;810;20;16;NA;N;23,76;24,25557959;0,020106193;66,1;0,233286404;0,20490592
2;45;3x3;2;810;21;14,5;NA;N;23,76;23,39401808;0,016512996;66,1;0,187011464;0,163652616
2;45;3x3;2;810;22;17,5;NA;N;23,76;24,99343176;0,024052819;66,1;0,284560598;0,25081378
2;45;3x3;2;810;23;17;NA;N;23,76;24,75956409;0,022698007;66,1;0,266915974;0,234994519
2;45;3x3;2;810;24;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;25;16,5;NA;N;23,76;24,51391347;0,021382465;66,1;0,249824139;0,219691793
2;45;3x3;2;810;26;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;27;13;NA;N;23,76;22,37553002;0,013273229;66,1;0,145774231;0,127062352
2;45;3x3;2;810;28;13;NA;N;23,76;22,37553002;0,013273229;66,1;0,145774231;0,127062352
2;45;3x3;2;810;29;14;NA;N;23,76;23,07391375;0,015393804;66,1;0,172703984;0,150937339
2;45;3x3;2;810;30;15,5;NA;N;23,76;23,98356984;0,018869191;66,1;0,217304117;0,190637221
2;45;3x3;2;810;31;15;NA;N;23,76;23,69678749;0,017671459;66,1;0,201878662;0,176886015
2;45;3x3;2;810;32;16;NA;N;23,76;24,25557959;0,020106193;66,1;0,233286404;0,20490592
