TALHAO;AREA_TALHAO;ESPAC;PARCELA;AREA_PARCELA;COVA;DAP;HT;OBS;AS;IDADE
2;45;3x3;1;810;87;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;88;14;NA;N;0,015393804;66,1
2;45;3x3;1;810;89;12;NA;N;0,011309734;66,1
2;45;3x3;1;810;90;16;24,8;D;0,020106193;66,1
2;45;3x3;2;810;1;13;23,2;N;0,013273229;66,1
2;45;3x3;2;810;2;14,5;23,6;N;0,016512996;66,1
2;45;3x3;2;810;3;14,5;24,2;N;0,016512996;66,1
2;45;3x3;2;810;4;15;25,6;N;0,017671459;66,1
2;45;3x3;2;810;5;12;23,6;N;0,011309734;66,1
2;45;3x3;2;810;6;15;25;N;0,017671459;66,1
2;45;3x3;2;810;7;13,5;22,4;N;0,014313882;66,1
2;45;3x3;2;810;8;15;25,2;N;0,017671459;66,1
2;45;3x3;2;810;10;14;23,5;N;0,015393804;66,1
2;45;3x3;2;810;11;14;25;N;0,015393804;66,1
2;45;3x3;2;810;12;15,5;24,6;N;0,018869191;66,1
2;45;3x3;2;810;13;15;24,1;N;0,017671459;66,1
2;45;3x3;2;810;14;16;25,6;N;0,020106193;66,1
2;45;3x3;2;810;15;15,5;24,8;N;0,018869191;66,1
2;45;3x3;2;810;16;13;22,7;N;0,013273229;66,1
2;45;3x3;2;810;17;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;18;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;19;16;NA;N;0,020106193;66,1
2;45;3x3;2;810;20;16;NA;N;0,020106193;66,1
2;45;3x3;2;810;21;14,5;NA;N;0,016512996;66,1
2;45;3x3;2;810;22;17,5;NA;N;0,024052819;66,1
2;45;3x3;2;810;23;17;NA;N;0,022698007;66,1
2;45;3x3;2;810;24;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;25;16,5;NA;N;0,021382465;66,1
2;45;3x3;2;810;26;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;27;13;NA;N;0,013273229;66,1
2;45;3x3;2;810;28;13;NA;N;0,013273229;66,1
2;45;3x3;2;810;29;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;30;15,5;NA;N;0,018869191;66,1
2;45;3x3;2;810;31;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;32;16;NA;N;0,020106193;66,1
2;45;3x3;2;810;33;14,5;NA;N;0,016512996;66,1
2;45;3x3;2;810;34;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;35;13;NA;N;0,013273229;66,1
2;45;3x3;2;810;36;13,5;NA;N;0,014313882;66,1
2;45;3x3;2;810;37;12;NA;N;0,011309734;66,1
2;45;3x3;2;810;38;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;39;15,5;24,5;D;0,018869191;66,1
2;45;3x3;2;810;40;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;41;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;42;12;NA;N;0,011309734;66,1
2;45;3x3;2;810;43;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;44;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;45;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;46;17;NA;N;0,022698007;66,1
2;45;3x3;2;810;47;9;NA;N;0,006361725;66,1
2;45;3x3;2;810;48;13,5;NA;N;0,014313882;66,1
2;45;3x3;2;810;49;17;24,7;D;0,022698007;66,1
2;45;3x3;2;810;50;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;51;13;NA;N;0,013273229;66,1
2;45;3x3;2;810;52;15,5;22,3;D;0,018869191;66,1
2;45;3x3;2;810;53;12,5;NA;N;0,012271846;66,1
2;45;3x3;2;810;54;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;55;16;NA;N;0,020106193;66,1
2;45;3x3;2;810;56;17;24,2;D;0,022698007;66,1
2;45;3x3;2;810;57;15,5;NA;N;0,018869191;66,1
2;45;3x3;2;810;58;14,5;NA;N;0,016512996;66,1
2;45;3x3;2;810;59;15,5;NA;N;0,018869191;66,1
2;45;3x3;2;810;60;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;61;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;62;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;63;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;64;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;65;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;66;13;NA;N;0,013273229;66,1
2;45;3x3;2;810;67;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;68;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;69;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;70;13;NA;N;0,013273229;66,1
2;45;3x3;2;810;71;11,5;NA;N;0,010386891;66,1
2;45;3x3;2;810;72;13;NA;N;0,013273229;66,1
2;45;3x3;2;810;73;14,5;23,1;D;0,016512996;66,1
2;45;3x3;2;810;74;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;75;16;NA;N;0,020106193;66,1
2;45;3x3;2;810;76;9,5;NA;N;0,007088218;66,1
2;45;3x3;2;810;77;15,5;NA;N;0,018869191;66,1
2;45;3x3;2;810;78;15,5;NA;N;0,018869191;66,1
2;45;3x3;2;810;79;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;80;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;81;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;82;16;NA;N;0,020106193;66,1
2;45;3x3;2;810;83;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;84;15;NA;N;0,017671459;66,1
2;45;3x3;2;810;85;14,5;NA;N;0,016512996;66,1
2;45;3x3;2;810;86;14;NA;N;0,015393804;66,1
2;45;3x3;2;810;87;13;NA;N;0,013273229;66,1
2;45;3x3;2;810;88;13;NA;N;0,013273229;66,1
