AREA_TOTAL;AREA_PARCELA;VCC
46,8;3000;41
46,8;3000;33
46,8;3000;24
46,8;3000;31
46,8;3000;10
46,8;3000;32
46,8;3000;62
46,8;3000;16
46,8;3000;66
46,8;3000;25
46,8;3000;44
46,8;3000;7
46,8;3000;57
46,8;3000;22
46,8;3000;31
46,8;3000;40
46,8;3000;43
46,8;3000;27
46,8;3000;17
46,8;3000;50
46,8;3000;38
46,8;3000;20
46,8;3000;35
46,8;3000;31
46,8;3000;26
